title,label,record,style,release_date,comments,rating,description,URL
Ex-Terrestrial - Urth Born,Pacific Rhythm,PR003,"Downtempo, Ambient, House",February 2018,Post a comment,3.6,"Dance music history is a limited resource, and the more depleted it becomes, the deeper you have to dig to find the new in the old. These days we're well into previously taboo zones: hardcore and gabber, say, or forms of ambient and new age previously dismissed as cheesy and insipid. Adam Feingold occupies the latter zone, having mined '90s chill-out and Balearic as Ex-Terrestrial since 2016, and his pristine new EP—the first on Pacific Rhythm from a non-Vancouver artist—hits on a new seam. Bits of this EP call to mind not the chill-out music that accompanied '90s rave culture, but the ultra-smooth coffee table music that accompanied its global commercialisation.
 Which isn't to say that the EP is bad. There's no detectable shred of irony, and it's steered by the confident hand Feingold brings to all of his music. You'll probably find yourself absorbed even as you scratch your head at some of Feingold's stylistic choices, like the bits of vaguely ""ethnic"" string instrument on ""Urth Man,"" for instance, which float along in an ultra-smooth breakbeat current. Or the defanged liquid drum & bass beats on ""Everybody Dreams,"" whose groove is so fast and light that it bypasses the body entirely, letting you sink into the slower pulse of synth chord and twinkling piano. The languid mood firms up on the lower-tempo ""Water Walk,"" where a muffled ""Funky Drummer"" break bobs around on oceanic chords. Fellow NAFF boss Priori turns the track into slow-burning ambient house, bringing us back onto firmer aesthetic ground—and not necessarily for the better.",https://www.residentadvisor.net/reviews/22198
Kym Sugiru - Ophelia,Diskotopia,DSK038,"Electro, Dancehall",February 2018,Post a comment,3.6,"Ophelia is an eccentric take on two styles we've heard a lot of lately: dancehall and electro. It's from Kym Sugiru, a Tokyo-based producer whose debut—not unlike Diskotopia, the label releasing it—is pleasingly slippery and digressive. ""Tanka,"" the electro track, has a nimble kalimba pattern that winds through coarse snares. Some details, such as the low-volume vocal babble, are almost imperceptible. Others, like the snippets of chat from Japanese high school students (apparently discussing poetry homework), slip in and out of a busy foreground, where you'll also hear harmonica, electronic cicada chirps and wafting hi-tech soul harmonies.
 There's more room on the wonky cosmic dancehall of ""Ophelia (Floriography),"" but Sugiru's quirky musical signatures remain. Onbeat tonal slides, rubbery rhythmic accents, dubby echo trails and mumbled nonsense all drift happily in the A-side's crooked currents. Its crunchy, not-quite-lo-fi ambience is grazed and scratched by scrapyard one-shots, but another balmy stroke—this time, faint choral vocals—takes the edge off.",https://www.residentadvisor.net/reviews/22237
Stanislav Tolkachev - Catacomb Saints,Pohjola,POHLTD0015,"Techno, Ambient",February 2018,Post a comment,3.7,"Stanislav Tolkachev revels in disorientating arp sequences and staccato arrangements, but he's no stranger to eerie beatless tangents. Last year's VHS Pt. 1 on Italy's Delirio showed his slower side, using double bass, piano and plinky synths for four melancholic and depressive tracks. His latest EP, Catacomb Saints, picks up where VHS Pt. 1 left off.  ""Why Are You So Frightened"" journeys through a tear-stained synth notes before the first hints of percussion creep in halfway through. Hi-hats dance around frantic bleeps, cutting through the tension of the sad beatless section. The track tiptoes between Tolkachev's two sides: spooky experimentation and cutting rhythms that urge you to get up and dance. The smooth pace contrasts with the full-throttle funk of ""4th Block,"" which follows a functional path. Tolkachev's tougher cuts tend to focus on expanding a central sequence to explore its limits, and ""4th Block"" is a great example of this. Veering among galloping kick drums and stomach-churning arpeggios, it's classic bare-boned Tolkachev.",https://www.residentadvisor.net/reviews/22215
Various - Introduction EP,Intergraded,INTGRD001,1 / View,February 2018,3.8,3.8,"Harry Agius, AKA Midland, gives back to the scene with his new Intergraded label. It's a platform for emerging artists, and its first release contains debuts from the Londoners Jay and Peach, plus new tracks by Body In The Thames and Webstarr. Body In The Thames sets the stage with ""Silver Threaded Crystal Beads,"" a fun, percussion-heavy opener with a rhythm that reminds me of Errorsmith's ""Superlative Fatigue."" Peach has made waves for the last year and a half as a DJ and a host at Radar Radio and NTS. Her production debut, ""Silky,"" is a great example of the energetic house tracks she's known to spin. While the vocal sample pays homage to the style's more classic side, its fast-paced intensity is anything but nostalgic.
 ""Balsam Drum"" by the SIREN collective member Jay is blissful with varied drum patterns and a mix of organic and synthetic sounds. Its muffled kick drum rumbles before erupting into a satisfying 4/4 pattern, keeping pace with conga-like drums and a baseline that recalls the sound of bees humming. Jay strings these elements together effortlessly, as if they were dispatches from the same extraterrestrial club night. Webstarr's ""The Muse"" captures the darker moods of the dance floor, closing out a well-rounded EP that would be a solid weapon for any house and techno DJ's record bag.",https://www.residentadvisor.net/reviews/22202
Taraval - No Coast,Hypercolour,HYPE069,Techno,March 2018,Post a comment,3.6,"Since his last record as Taraval, Ryan Smith has kept busy with some unusual collaborative projects. The Canadian's solo alias, however, sticks to a simple brief: to make characterful dance music for big rooms. Like the second of his two records for Four Tet's Text, No Coast veers from the disco-house flavours of Smith's early tracks towards a tougher and often darker techno sound. The most colour we get comes in ""Stan's Loon,"" where melodic flurries and glistening chords spice up a buoyant circa-120 BPM groove. Wild clap barrages don't enter until the last 90 seconds or so, the arrangement equivalent of getting two thirds through your jog and realising you've barely broken a sweat.
 But mostly the mood is gloomier. On ""No Coast"" a chilly klaxon bleep brings the dystopian drama, around which Smith sneaks in quietly funky percussion. The other tracks splay arps and chord stabs polyrhythmically across the groove—a standard big-room techno technique, only Smith's synths warp and wobble with an unusual gooey softness. ""Kima Jima""'s lead line is furtive, scuttling down the piano roll as if fleeing the scene of a crime, before gentler kosmische colouring soothes it. ""Topaz's Way"" lacks this calming element. It's the EP's straightest—and most banging—track, but it still has a hint of the oddball flair that marks Smith out.",https://www.residentadvisor.net/reviews/22210
Binh - Eastern Bloc,Cabaret Recordings,CABARET016,"Minimal, Techno",February 2018,1,4.0,"Cabaret's streak of fresh and intriguing minimal that stretches the genre's parameters continues in 2018. Its first record of the year, Eastern Bloc, comes from their regular collaborator Binh. His first two EPs on the label—Downtown and Buyout—played with a toolbox of vocal samples, with his use of Drake's voice on ""Downtown"" recalling Madteo's creepy reimagining of the Canadian rapper on ""Rugrats Don't Techno For An Answer.""
 Straying from vocals, Binh's latest record for Cabaret is more in line with his recent work for other labels. He focusses on a different set of production tools that contrast with the icy toughness of Downtown and Buyout. Where the eerie presence of space lent unnerving character to those records, Eastern Bloc fills the void with Binh's production quirks. A warmth permeates the EP, conveyed through radiant synths, springy basslines and the upbeat roll of Binh's bouncy kick drums. ""Eastern Bloc"" and ""Revdone"" beam down rays through shiny melodies, sounds of a minimal master showing his sunnier side.",https://www.residentadvisor.net/reviews/22236
Mica Levi - Delete Beach,DDS,DDS024,"Electronic, Experimental, Ambient",February 2018,3,3.9,"""I've just always been interested in those glisses,"" the composer Mica Levi said of glissandos, one of her musical signatures, the tonal slide where sweet can become sour, or, as on her BAFTA-nominated score for Under The Skin, something much worse. They're not as central to her latest film soundtrack, the anime short Delete Beach, but she leaves other recognisable marks. On ""Interlude 1,"" grave strings—not unlike those heard on Under The Skin—heave through simple kick-snare drums and bright synth melodies. Another melody—slightly warmer, no less aglow—is anchored by sleepy piano keys on ""Interlude 2."" The first track is Kuedo on codeine; the second is more hopeful.  They're of a piece with the Japanese, English and instrumental versions of ""Delete Beach."" On the first two, we're listening to a young ""burner"" or ""lemming"" on the beach lamenting her failure ""to join comrades underneath [the ocean], slowly becoming oil over time."" (In the film, oil is illegal, but the burners regard it with spiritual awe.) The music undergoes several phases, possibly dictated by the speaker's mood. At first, orchestral strings and sea waves lap gently, then, as she recalls moments from her past, feedback screeches amid cooing synth pads. (""Interlude 2""'s melody reappears shortly after.) Throughout these stark ambient passages, you get a sense of the world the narrator is railing against. Levi mirrors the ""defeated"" activist's perspective with suggestive contrasts: call-and-response tones, clean and dirty surfaces, high- and low-tech chirps, all shifting in the tides of the ocean the burner hasn't quite reached.",https://www.residentadvisor.net/reviews/22157
Nathan Fake - Sunder,Ninja Tune,ZEN12471,"Techno, Electronica",February 2018,3,3.8,"""I've always been totally turned off by the idea of owning expensive, high-end equipment,"" Nathan Fake said around the time of 2015's Glaive EP. For that record he limited himself to an ancient copy of Cubase and a Roland SH-09 monosynth, and he's kept up the studio limitations since. On last year's Providence LP he broke two years of writer's block by picking up a Korg Prophecy. ""It's very hard to program, looks unimpressive, [and] doesn't sound great,"" he joked. And his latest EP features a ""Jupiter 6, broken Akai drum machine and a Yamaha Reface DX,"" with which Fake recorded a series of unedited one-take performances onto ""an old Marantz tape deck."" These are one-take straight-to-tape live jams, but Fake doesn't seem to be after the retro ""authenticity"" associated with that method by dozens of post-L.I.E.S. producers. Instead, his simple tools allow quicker access to the power that has animated much of his best music.  Each track is a concentrated dose of things Fake does well: long aching melodies and chord progressions, surging, dramatic crescendos, hectic drums. The strongest tracks, ""Sunder"" and ""Arcaibh,"" come first. The former is high-velocity techno, the latter a kind of electro. In both cases the drums slam the mix into the red, contrasting with the synths' pristine drift. The other tracks toy with different moods. There's a scarred IDM whimsy on ""Serotonin Drops"" and a triumphant tone on ""Cloudswept"" that doesn't sit so well with the swung drums. On ""Lea,"" Fake revels one last time in the materiality of his synths, making them glisten, fray and melt along unusual vectors. Where Providence showed that he can still make ambitious statements, this EP is a simpler pleasure.",https://www.residentadvisor.net/reviews/22153
Albrecht La'Brooy - Tidal River,Apollo,AMB1801,"Ambient, Deep House",January 2018,3,3.7,"There has always been an appreciation of the outdoors in the lush work of Albrecht La'Brooy. Inspired by a visit to the coastal Wilsons Promontory national park, the Melbourne duo's first release on R&S's ambient sub-label, Apollo, reflects that appreciation. Tidal River's excellent opening track, ""Daybreak,"" sets the scene with twangs of wistful guitar and a sprinkling of piano. It has a bleary-eyed quality that's reminiscent of The KLF's classic ""Madrugada Eterna,"" but instead of zooming cars on an American highway, it echoes with the distant chirp of birds from the Australian bushland.
 Other tracks on the mini-album could suit the dance floor—or, more appropriately, the afterparty. Before building into a steady rhythm, ""View From The Peak"" warbles with gentle chords layered with a flicker of drums. Something similar happens in ""Tidal River,"" with its shuffling bassline and dabs of late-night piano. ""Sealers Cove"" is the most vigorous of a mild lot, ascending into a groove by the end of its nine-minute length. ""Darby Saddle"" departs from 4/4, with the intermittent rustling of percussion nestled in with warm strings and twinkling keys. The most accessible track, the Balearic-leaning ""Last Light,"" allures with silky saxophone and elegant drums. Tidal River isn't strictly an ambient release, but it's best listened to as one.",https://www.residentadvisor.net/reviews/22197
Cesare vs Disorder ‎- Ararapira Jazz,Vakant,VA072,"Minimal, House",February 2018,2,3.5,"Minimal has gone through many phases over the years, and Vakant has dabbled in just about all of them. The Berlin label taps Spacetravel, a key producer pushing the style's move into cosmic terrain, for a remix on its latest EP, Cesare vs Disorder's Ararapira Jazz. Spacetravel turns the title track into an ultra-deep groover, little more than a thumping kick, sporadic electroid synth squiggles and frantic claps and hi-hats. The beat is tough, so it feels like the kind of tune best deployed in a party's final stages, when anything more complicated than a straight 4/4 pattern is tough to compute.
 The EP's original three tracks push more familiar minimal sounds. Thanks to a deep, rhythmic bassline, ""Ararapira Jazz"" is the pick of the bunch. Bright but subtle, its main melody is a mix of light chords and sparkling notes, building up and down as the bassline dances underneath. Ricardo Villalobos's influence is heard in the rhythm and vocals of ""Desorientado,"" while ""Dinner With Bogdan"" lays down more cheery synths over another hyperactive bassline. Ararapira Jazz is a great summer record, so let's hope it stays in DJ bags until then.",https://www.residentadvisor.net/reviews/22265
